j =  1/2+   -52.534
12.300       0.000013      -0.000001
12.400       0.000014      -0.000001
12.500       0.000014      -0.000001
12.600       0.000014      -0.000001
12.700       0.000013      -0.000001
12.800       0.000013      -0.000001
12.900       0.000013      -0.000001
13.000       0.000012      -0.000001
13.100       0.000011      -0.000000
13.200       0.000010      -0.000000
13.300       0.000010      -0.000000
13.400       0.000009      -0.000000
13.500       0.000008      -0.000000
13.600       0.000007      -0.000000
13.700       0.000007      -0.000000
13.800       0.000006      -0.000000
13.900       0.000005      -0.000000
14.000       0.000005      -0.000000
14.100       0.000004      -0.000000
14.200       0.000004      -0.000000
14.300       0.000003      -0.000000
14.400       0.000003      -0.000000
14.500       0.000002      -0.000000
14.600       0.000002       0.000000
14.700       0.000002       0.000000
14.800       0.000001       0.000000
14.900       0.000001       0.000000
15.000       0.000001       0.000000
15.100       0.000001       0.000000
15.200       0.000001       0.000000
15.300       0.000001       0.000000
15.400       0.000000       0.000000
15.500       0.000000       0.000000
15.600       0.000000       0.000000
15.700       0.000000       0.000000
15.800       0.000000       0.000000
15.900       0.000000       0.000000
16.000       0.000000       0.000000
16.100       0.000000       0.000000
16.200       0.000000       0.000000
16.300       0.000000       0.000000
16.400       0.000000       0.000000
16.500       0.000000       0.000000
16.600       0.000000       0.000000
16.700       0.000000       0.000000
16.800       0.000000       0.000000
16.900       0.000000       0.000000
17.000       0.000000       0.000000
17.100       0.000000       0.000000
17.200       0.000000       0.000000
17.300       0.000000       0.000000
17.400       0.000000       0.000000
17.500       0.000000       0.000000
17.600       0.000000       0.000000
17.700       0.000000       0.000000
17.800       0.000000       0.000000
17.900       0.000000       0.000000
18.000       0.000000       0.000000

    
j = 1/2-    -41.646
 0.000       0.000000       0.064798
 0.100       0.012980       0.064715
 0.200       0.025921       0.064466
 0.300       0.038783       0.064058
 0.400       0.051527       0.063496
 0.500       0.064113       0.062791
 0.600       0.076501       0.061955
 0.700       0.088651       0.060999
 0.800       0.100523       0.059936
 0.900       0.112075       0.058778
 1.000       0.123266       0.057534
 1.100       0.134054       0.056213
 1.200       0.144394       0.054820
 1.300       0.154245       0.053358
 1.400       0.163560       0.051828
 1.500       0.172296       0.050227
 1.600       0.180408       0.048552
 1.700       0.187852       0.046797
 1.800       0.194584       0.044956
 1.900       0.200564       0.043024
 2.000       0.205752       0.040996
 2.100       0.210114       0.038869
 2.200       0.213617       0.036645
 2.300       0.216238       0.034326
 2.400       0.217956       0.031920
 2.500       0.218759       0.029437
 2.600       0.218644       0.026893
 2.700       0.217614       0.024307
 2.800       0.215684       0.021698
 2.900       0.212876       0.019093
 3.000       0.209222       0.016516
 3.100       0.204765       0.013995
 3.200       0.199553       0.011555
 3.300       0.193646       0.009223
 3.400       0.187109       0.007022
 3.500       0.180014       0.004972
 3.600       0.172438       0.003092
 3.700       0.164461       0.001393
 3.800       0.156167      -0.000114
 3.900       0.147640      -0.001424
 4.000       0.138962      -0.002537
 4.100       0.130215      -0.003457
 4.200       0.121477      -0.004191
 4.300       0.112821      -0.004749
 4.400       0.104316      -0.005144
 4.500       0.096023      -0.005393
 4.600       0.087997      -0.005512
 4.700       0.080286      -0.005518
 4.800       0.072929      -0.005430
 4.900       0.065958      -0.005264
 5.000       0.059396      -0.005037
 5.100       0.053260      -0.004765
 5.200       0.047560      -0.004462
 5.300       0.042297      -0.004139
 5.400       0.037467      -0.003808
 5.500       0.033064      -0.003477
 5.600       0.029071      -0.003154
 5.700       0.025473      -0.002843
 5.800       0.022248      -0.002548
 5.900       0.019374      -0.002273
 6.000       0.016826      -0.002018
 6.100       0.014578      -0.001785
 6.200       0.012605      -0.001572
 6.300       0.010881      -0.001381
 6.400       0.009380      -0.001209
 6.500       0.008079      -0.001055
 6.600       0.006954      -0.000918
 6.700       0.005984      -0.000797
 6.800       0.005150      -0.000690
 6.900       0.004432      -0.000596
 7.000       0.003816      -0.000514
 7.100       0.003287      -0.000442
 7.200       0.002832      -0.000379
 7.300       0.002441      -0.000325
 7.400       0.002103      -0.000278
 7.500       0.001812      -0.000237
 7.600       0.001560      -0.000203
 7.700       0.001341      -0.000173
 7.800       0.001151      -0.000148
 7.900       0.000986      -0.000127
 8.000       0.000843      -0.000110
 8.100       0.000719      -0.000095
 8.200       0.000611      -0.000083
 8.300       0.000518      -0.000072
 8.400       0.000438      -0.000063
 8.500       0.000370      -0.000056
 8.600       0.000312      -0.000049
 8.700       0.000263      -0.000043
 8.800       0.000222      -0.000038
 8.900       0.000188      -0.000034
 9.000       0.000161      -0.000029
 9.100       0.000138      -0.000025
 9.200       0.000120      -0.000022
 9.300       0.000105      -0.000018
 9.400       0.000093      -0.000015
 9.500       0.000084      -0.000012
 9.600       0.000076      -0.000010
 9.700       0.000070      -0.000008
 9.800       0.000064      -0.000006
 9.900       0.000060      -0.000004
10.000       0.000055      -0.000003
10.100       0.000051      -0.000002
10.200       0.000046      -0.000001
10.300       0.000042      -0.000000
10.400       0.000037       0.000000
10.500       0.000032       0.000000
10.600       0.000028       0.000000
10.700       0.000023      -0.000000
10.800       0.000018      -0.000000
10.900       0.000013      -0.000001
11.000       0.000009      -0.000001
11.100       0.000005      -0.000002
11.200       0.000001      -0.000002
11.300      -0.000003      -0.000003
11.400      -0.000006      -0.000003
11.500      -0.000009      -0.000003
11.600      -0.000012      -0.000003
11.700      -0.000014      -0.000004
11.800      -0.000015      -0.000004
11.900      -0.000016      -0.000004
12.000      -0.000017      -0.000004
12.100      -0.000018      -0.000004
12.200      -0.000018      -0.000003
12.300      -0.000018      -0.000003
12.400      -0.000017      -0.000003
12.500      -0.000017      -0.000003
12.600      -0.000016      -0.000003
12.700      -0.000015      -0.000002
12.800      -0.000014      -0.000002
12.900      -0.000013      -0.000002
13.000      -0.000012      -0.000002
13.100      -0.000011      -0.000002
13.200      -0.000010      -0.000001
13.300      -0.000009      -0.000001
13.400      -0.000008      -0.000001
13.500      -0.000008      -0.000001
13.600      -0.000007      -0.000001
13.700      -0.000006      -0.000001
13.800      -0.000005      -0.000000
13.900      -0.000005      -0.000000
14.000      -0.000004      -0.000000
14.100      -0.000003      -0.000000
14.200      -0.000003      -0.000000
14.300      -0.000002      -0.000000
14.400      -0.000002      -0.000000
14.500      -0.000002      -0.000000
14.600      -0.000002      -0.000000
14.700      -0.000001      -0.000000
14.800      -0.000001      -0.000000
14.900      -0.000001      -0.000000
15.000      -0.000001      -0.000000
15.100      -0.000001      -0.000000
15.200      -0.000000      -0.000000
15.300      -0.000000      -0.000000
15.400      -0.000000       0.000000
15.500      -0.000000       0.000000
15.600      -0.000000       0.000000
15.700      -0.000000       0.000000
15.800      -0.000000       0.000000
15.900      -0.000000       0.000000
16.000      -0.000000       0.000000
16.100      -0.000000       0.000000
16.200      -0.000000       0.000000
16.300      -0.000000       0.000000
16.400      -0.000000       0.000000
16.500      -0.000000       0.000000
16.600      -0.000000       0.000000
16.700      -0.000000       0.000000
16.800      -0.000000       0.000000
16.900      -0.000000       0.000000
17.000      -0.000000       0.000000
17.100      -0.000000       0.000000
17.200      -0.000000       0.000000
17.300      -0.000000       0.000000
17.400      -0.000000       0.000000
17.500      -0.000000       0.000000
17.600      -0.000000       0.000000
17.700      -0.000000       0.000000
17.800      -0.000000       0.000000
17.900      -0.000000       0.000000
18.000      -0.000000       0.000000

j =  5/2+   -31.536
 0.000       0.000000       0.000000
 0.100       0.000383       0.000001
 0.200       0.001529       0.000008
 0.300       0.003428       0.000027
 0.400       0.006065       0.000063
 0.500       0.009419       0.000121
 0.600       0.013462       0.000205
 0.700       0.018161       0.000318
 0.800       0.023479       0.000462
 0.900       0.029371       0.000638
 1.000       0.035792       0.000849
 1.100       0.042688       0.001095
 1.200       0.050005       0.001377
 1.300       0.057683       0.001697
 1.400       0.065661       0.002058
 1.500       0.073874       0.002461
 1.600       0.082255       0.002911
 1.700       0.090736       0.003411
 1.800       0.099246       0.003965
 1.900       0.107713       0.004577
 2.000       0.116064       0.005251
 2.100       0.124227       0.005990
 2.200       0.132127       0.006795
 2.300       0.139690       0.007665
 2.400       0.146844       0.008598
 2.500       0.153516       0.009588
 2.600       0.159637       0.010627
 2.700       0.165139       0.011702
 2.800       0.169960       0.012801
 2.900       0.174041       0.013906
 3.000       0.177330       0.014998
 3.100       0.179785       0.016057
 3.200       0.181368       0.017063
 3.300       0.182055       0.017994
 3.400       0.181832       0.018829
 3.500       0.180695       0.019552
 3.600       0.178655       0.020144
 3.700       0.175736       0.020593
 3.800       0.171974       0.020890
 3.900       0.167417       0.021028
 4.000       0.162126       0.021005
 4.100       0.156172       0.020824
 4.200       0.149637       0.020490
 4.300       0.142610       0.020014
 4.400       0.135183       0.019408
 4.500       0.127455       0.018686
 4.600       0.119524       0.017866
 4.700       0.111489       0.016967
 4.800       0.103442       0.016007
 4.900       0.095474       0.015004
 5.000       0.087664       0.013977
 5.100       0.080088       0.012942
 5.200       0.072807       0.011916
 5.300       0.065875       0.010911
 5.400       0.059332       0.009938
 5.500       0.053209       0.009008
 5.600       0.047526       0.008127
 5.700       0.042292       0.007300
 5.800       0.037507       0.006530
 5.900       0.033162       0.005820
 6.000       0.029244       0.005170
 6.100       0.025731       0.004577
 6.200       0.022599       0.004041
 6.300       0.019818       0.003558
 6.400       0.017361       0.003125
 6.500       0.015197       0.002739
 6.600       0.013294       0.002395
 6.700       0.011626       0.002091
 6.800       0.010164       0.001823
 6.900       0.008883       0.001587
 7.000       0.007762       0.001380
 7.100       0.006778       0.001198
 7.200       0.005916       0.001040
 7.300       0.005158       0.000902
 7.400       0.004493       0.000783
 7.500       0.003909       0.000679
 7.600       0.003397       0.000589
 7.700       0.002947       0.000512
 7.800       0.002555       0.000445
 7.900       0.002212       0.000388
 8.000       0.001915       0.000339
 8.100       0.001657       0.000296
 8.200       0.001436       0.000259
 8.300       0.001245       0.000227
 8.400       0.001083       0.000199
 8.500       0.000945       0.000174
 8.600       0.000828       0.000152
 8.700       0.000728       0.000133
 8.800       0.000643       0.000116
 8.900       0.000571       0.000100
 9.000       0.000508       0.000087
 9.100       0.000454       0.000074
 9.200       0.000405       0.000064
 9.300       0.000362       0.000054
 9.400       0.000322       0.000046
 9.500       0.000286       0.000038
 9.600       0.000252       0.000032
 9.700       0.000220       0.000027
 9.800       0.000190       0.000023
 9.900       0.000162       0.000019
10.000       0.000136       0.000017
10.100       0.000113       0.000015
10.200       0.000091       0.000013
10.300       0.000072       0.000012
10.400       0.000055       0.000012
10.500       0.000041       0.000011
10.600       0.000030       0.000011
10.700       0.000021       0.000011
10.800       0.000014       0.000010
10.900       0.000010       0.000010
11.000       0.000007       0.000010
11.100       0.000007       0.000009
11.200       0.000008       0.000009
11.300       0.000010       0.000008
11.400       0.000013       0.000007
11.500       0.000016       0.000006
11.600       0.000020       0.000005
11.700       0.000025       0.000004
11.800       0.000029       0.000003
11.900       0.000033       0.000001
12.000       0.000036       0.000000
12.100       0.000039      -0.000001
12.200       0.000042      -0.000002
12.300       0.000044      -0.000003
12.400       0.000045      -0.000004
